2026-05-19 12:01:41,120 | ERROR | - | yfinance | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"No fundamentals data found for symbol: SPY"}}}
2026-05-19 12:01:41,120 | INFO | - | apex.scheduler.service | APEX autopilot scheduler running (Ctrl+C or SIGTERM to exit)
2026-05-19 12:01:41,120 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-19 12:01:41,121 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-19 12:01:41,121 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-19 12:01:41,121 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-19 12:01:41,121 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-19 12:01:41,121 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-19 12:01:41,121 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-19 12:01:41,121 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-19 12:01:41,121 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-19 12:01:41,121 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
2026-05-19 12:01:41,121 | INFO | - | apscheduler.scheduler | Added job "register_jobs.<locals>.<lambda>" to job store "default"
